STT	Từ vựng	Nghĩa
896	선장	Captain (of a ship)
897	비서	Secretary
898	팀장	Team leader
899	간호사	Nurse
900	기사	Engineer / Technician
901	라이스 페이퍼	Rice paper
902	새우 크래커	Shrimp cracker
903	크루아상	Croissant
904	비스킷	Biscuit
905	샌드위치	Sandwich
906	월병	Mooncake
907	케이크, 양과자	Cake / Western pastry
908	핫케이크	Pancake / Hotcake
909	구운빵	Toast / Baked bread
910	머핀	Muffin
911	빵	Bread
912	팬케이크	Pancake
913	만두	Dumpling / Mandu
914	찐빵	Steamed bun
915	스펀지 케이크	Sponge cake
916	이탈리아식 국수	Pasta / Italian noodles
917	국수	Noodles
918	버미첼리	Vermicelli
919	라면	Ramen / Instant noodles
920	볶음 국수	Stir-fried noodles
921	스파게티	Spaghetti
922	죽	Porridge / Congee
923	밥	Cooked rice / Meal
924	볶음밥	Fried rice
925	그제/ 그저께	Day before yesterday
926	생선회	Sashimi / Raw fish
927	뻥튀기	Puffed rice snack / Rice cake
928	미역	Seaweed (specifically brown seaweed for soup)
929	녹차	Green tea
930	꼬리곰탕	Ox tail soup
931	한식	Korean food / Korean cuisine
932	김치	Kimchi
933	깍두기	Diced radish kimchi
934	김치찌개	Kimchi stew
935	김밥	Gimbap / Rice roll
936	된장찌개	Soybean paste stew
937	콩나물국	Bean sprout soup
938	순두부찌개	Soft tofu stew
939	삼계탕	Ginseng chicken soup
940	잡채	Japchae / Glass noodle stir-fry
941	비빔밥	Bibimbap / Mixed rice
942	불고기	Bulgogi / Marinated beef
943	삼겹살	Grilled pork belly
944	자장면	Jajangmyeon / Black bean noodles
945	냉면	Naengmyeon / Cold noodles
946	우동	Udon
947	떡	Rice cake
948	김	Gim / Dried seaweed
949	쌀국수	Rice noodles / Pho
950	은백색	Silver-white
951	빨간색/붉은색	Red
952	심홍색	Crimson / Deep red
953	주홍색	Scarlet / Vermilion
954	검정색/까만색	Black
955	하얀색/흰색	White
956	노란색/황색	Yellow
957	주황색/오렌지색	Orange
958	암녹색	Dark green
959	초록색/녹색	Green
960	분홍색	Pink
961	장밋빛	Rose pink
962	청록색	Turquoise / Teal
963	갈색/밤색	Brown
964	보라색	Purple
965	회색	Gray
966	파란색/청색/ 푸른색	Blue
967	은색	Silver
968	금색	Gold
969	색깔이 진하다	Dark-colored / Deep color
970	색깔이 연하다	Light-colored / Pale color
971	색깔이 어둡다	Dark color
972	색깔이 밝다	Bright color
973	시간	Time / Hour
974	월요일	Monday
975	화요일	Tuesday
976	수요일	Wednesday
977	목요일	Thursday
978	금요일	Friday
979	토요일	Saturday
980	일요일	Sunday
981	이번주	This week
982	지난주	Last week
983	다음주	Next week
984	주말	Weekend
985	이번달	This month
986	다음달	Next month
987	지난달	Last month
988	아침	Morning / Breakfast
989	점심	Afternoon / Lunch
990	저녁	Evening / Dinner
991	오전	Morning / AM
992	오후	Afternoon / PM
993	낮	Daytime
994	새벽	Dawn / Early morning
995	밤	Night
996	오늘	Today
997	내일	Tomorrow
998	모레	Day after tomorrow
999	글피	Two days after tomorrow
1000	어제	Yesterday
