type,stt,category,ko,en
VOCAB,450,Practical Phrases,행주를 헹구다,Rinse a dishcloth
VOCAB,451,Practical Phrases,행주를 정리하다,Organize dishcloths
VOCAB,452,Practical Phrases,행주를 치우다,Put away dishcloths
VOCAB,453,Practical Phrases,행주를 버리다,Throw away a dishcloth
VOCAB,454,Practical Phrases,행주를 담다,Place dishcloths in a container
VOCAB,455,Practical Phrases,행주를 채우다,Stock up on dishcloths
VOCAB,456,Practical Phrases,행주를 비우다,Clear dishcloths
VOCAB,457,Practical Phrases,행주를 꺼내다,Take out a dishcloth
VOCAB,458,Practical Phrases,행주를 넣다,Put dishcloths into storage/sanitizer
VOCAB,459,Practical Phrases,행주를 옮기다,Move dishcloths
VOCAB,460,Practical Phrases,행주를 확인하다,Check dishcloths
VOCAB,461,Practical Phrases,행주를 교체하다,Replace a dishcloth
VOCAB,462,Practical Phrases,행주를 보충하다,Restock dishcloths
VOCAB,463,Practical Phrases,행주를 세척하다,Thoroughly wash dishcloths
VOCAB,464,Practical Phrases,행주를 소독하다,Sanitize dishcloths
VOCAB,465,Practical Phrases,행주를 건조하다,Dry dishcloths
VOCAB,466,Practical Phrases,행주를 점검하다,Inspect dishcloth cleanliness
VOCAB,467,Practical Phrases,수세미를 닦다,Wipe off a scrubbing sponge
VOCAB,468,Practical Phrases,수세미를 씻다,Wash a scrubbing sponge
VOCAB,469,Practical Phrases,수세미를 헹구다,Rinse a scrubbing sponge
VOCAB,470,Practical Phrases,수세미를 정리하다,Organize sponges
VOCAB,471,Practical Phrases,수세미를 치우다,Put away sponges
VOCAB,472,Practical Phrases,수세미를 버리다,Throw away a sponge
VOCAB,473,Practical Phrases,수세미를 담다,Place sponges in a holder
VOCAB,474,Practical Phrases,수세미를 채우다,Stock up on sponges
VOCAB,475,Practical Phrases,수세미를 비우다,Clear sponges out
VOCAB,476,Practical Phrases,수세미를 꺼내다,Take out a sponge
VOCAB,477,Practical Phrases,수세미를 넣다,Put a sponge in a holder
VOCAB,478,Practical Phrases,수세미를 옮기다,Move sponges
VOCAB,479,Practical Phrases,수세미를 확인하다,Check sponges
VOCAB,480,Practical Phrases,수세미를 교체하다,Replace a sponge
SENTENCE,1,Sample Sentences,오늘은 제가 설거지할게요.,I will do the dishes today.
SENTENCE,2,Sample Sentences,접시를 먼저 헹구고 세제로 씻어 주세요.,Please rinse the plates first and then wash them with dish soap.
SENTENCE,3,Sample Sentences,수저는 따로 모아서 세척해 주세요.,Please gather the utensils separately and wash them.
SENTENCE,4,Sample Sentences,뜨거우니까 조심하세요.,It is hot, so please be careful.
SENTENCE,5,Sample Sentences,바닥이 미끄러우니 조심히 걸어 주세요.,The floor is slippery, so please walk carefully.
SENTENCE,6,Sample Sentences,주문 들어왔어요. 테이블 5번이에요.,An order came in. It's for Table 5.
SENTENCE,7,Sample Sentences,물 좀 더 가져다 드릴까요?,Shall I bring you some more water?
SENTENCE,8,Sample Sentences,반찬 리필해 드릴까요?,Would you like a refill on side dishes?
SENTENCE,9,Sample Sentences,잠시만 기다려 주세요. 곧 준비해 드릴게요.,Please wait a moment. We'll prepare it shortly.
SENTENCE,10,Sample Sentences,"포장해 드릴까요, 아니면 여기서 드실 건가요?",Would you like this to go, or will you be eating here?
SENTENCE,11,Sample Sentences,"계산은 카드로 하실까요, 현금으로 하실까요?",Would you like to pay by card or cash?
SENTENCE,12,Sample Sentences,유통기한을 확인해 주세요.,Please check the expiration date.
SENTENCE,13,Sample Sentences,쓰레기를 분리수거해 주세요.,Please sort/recycle the trash.
SENTENCE,14,Sample Sentences,테이블을 깨끗이 닦고 세팅해 주세요.,Please wipe the table clean and set it up.
SENTENCE,15,Sample Sentences,주문하신 음식 나왔습니다.,Here is the food you ordered.
SENTENCE,16,Sample Sentences,잠시만요. 확인하고 오겠습니다.,One moment, please. I'll go check and come back.
SENTENCE,17,Sample Sentences,오늘도 수고하셨어요.,Thank you for your hard work today as well.
SENTENCE,18,Sample Sentences,마감 청소 시작합시다.,Let's start the closing cleanup.
SENTENCE,19,Sample Sentences,가게 문 닫을 시간이에요.,It's time to close the restaurant.
SENTENCE,20,Sample Sentences,의자를 주방에 넣어 주세요.,Please put the chairs in the kitchen.
SENTENCE,21,Sample Sentences,컵을 확인해 주세요.,Please check the cups.
SENTENCE,22,Sample Sentences,물을 깨끗이 닦아 주세요.,Please wipe up the water clean.
SENTENCE,23,Sample Sentences,수저를 확인해 주세요.,Please check the utensils.
SENTENCE,24,Sample Sentences,의자를 세척실로 옮겨 주세요.,Please move the chairs to the dishwashing room.
SENTENCE,25,Sample Sentences,세제를 깨끗이 닦아 주세요.,Please wipe off the detergent completely.
SENTENCE,26,Sample Sentences,반찬을 깨끗이 닦아 주세요.,Please wipe down the side dish area clean.
SENTENCE,27,Sample Sentences,홀을 빨리 정리해 주세요.,Please organize the dining area quickly.
SENTENCE,28,Sample Sentences,컵을 창고에 넣어 주세요.,Please put the cups in the storage room.
SENTENCE,29,Sample Sentences,바닥을 냉장고에 넣어 주세요.,Please put floor items in the refrigerator.
SENTENCE,30,Sample Sentences,포장용기를 빨리 정리해 주세요.,Please organize the takeout containers quickly.
SENTENCE,31,Sample Sentences,소스를 빨리 정리해 주세요.,Please organize the sauces quickly.
SENTENCE,32,Sample Sentences,바닥을 깨끗이 닦아 주세요.,Please mop/wipe the floor clean.
SENTENCE,33,Sample Sentences,세제를 빨리 정리해 주세요.,Please organize the detergents quickly.
SENTENCE,34,Sample Sentences,냉동실을 확인해 주세요.,Please check the freezer.
SENTENCE,35,Sample Sentences,음식물쓰레기를 확인해 주세요.,Please check the food waste.
SENTENCE,36,Sample Sentences,주방을 확인해 주세요.,Please check the kitchen.
SENTENCE,37,Sample Sentences,행주를 냉장고에 넣어 주세요.,Please put the dishcloths in the refrigerator.
SENTENCE,38,Sample Sentences,냅킨을 세척실로 옮겨 주세요.,Please move the napkins to the dishwashing room.
SENTENCE,39,Sample Sentences,접시를 세척실로 옮겨 주세요.,Please move the plates to the dishwashing room.
SENTENCE,40,Sample Sentences,수저를 주방으로 옮겨 주세요.,Please move the utensils to the kitchen.
SENTENCE,41,Sample Sentences,수저를 냉동실로 옮겨 주세요.,Please move the utensils to the freezer.
SENTENCE,42,Sample Sentences,수세미를 확인해 주세요.,Please check the scrubbing sponges.
SENTENCE,43,Sample Sentences,의자를 홀로 옮겨 주세요.,Please move the chairs to the dining area.
SENTENCE,44,Sample Sentences,홀을 냉장고에 넣어 주세요.,Please store dining area items in the refrigerator.
SENTENCE,45,Sample Sentences,재료를 확인해 주세요.,Please check the ingredients.
SENTENCE,46,Sample Sentences,카운터를 냉장고에 넣어 주세요.,Please put counter items in the refrigerator.
SENTENCE,47,Sample Sentences,쟁반을 빨리 정리해 주세요.,Please organize the trays quickly.
SENTENCE,48,Sample Sentences,컵을 깨끗이 닦아 주세요.,Please wipe the cups clean.
SENTENCE,49,Sample Sentences,물을 홀에 넣어 주세요.,Please bring water to the dining area.
SENTENCE,50,Sample Sentences,홀을 창고로 옮겨 주세요.,Please move dining area items to storage.
SENTENCE,51,Sample Sentences,재료를 확인해 주세요.,Please check the ingredients.
SENTENCE,52,Sample Sentences,의자를 깨끗이 닦아 주세요.,Please wipe the chairs clean.
SENTENCE,53,Sample Sentences,음식물쓰레기를 빨리 정리해 주세요.,Please clean up the food waste quickly.
SENTENCE,54,Sample Sentences,냅킨을 빨리 정리해 주세요.,Please organize the napkins quickly.
SENTENCE,55,Sample Sentences,테이블을 냉장고에 넣어 주세요.,Please put table items in the refrigerator.
SENTENCE,56,Sample Sentences,얼음을 빨리 정리해 주세요.,Please organize/restock the ice quickly.
SENTENCE,57,Sample Sentences,재료를 깨끗이 닦아 주세요.,Please wipe down the ingredients clean.
SENTENCE,58,Sample Sentences,소스를 깨끗이 닦아 주세요.,Please wipe the sauce bottles clean.
SENTENCE,59,Sample Sentences,쟁반을 깨끗이 닦아 주세요.,Please wipe the trays clean.
SENTENCE,60,Sample Sentences,소독제를 세척실에 넣어 주세요.,Please put the sanitizer in the dishwashing room.
SENTENCE,61,Sample Sentences,쓰레기를 홀에 넣어 주세요.,Please bring the trash bin to the dining area.
SENTENCE,62,Sample Sentences,포장용기를 깨끗이 닦아 주세요.,Please wipe the takeout containers clean.
SENTENCE,63,Sample Sentences,그릇을 확인해 주세요.,Please check the bowls.
SENTENCE,64,Sample Sentences,포장용기를 빨리 정리해 주세요.,Please organize the takeout containers quickly.
SENTENCE,65,Sample Sentences,의자를 빨리 정리해 주세요.,Please arrange the chairs quickly.
SENTENCE,66,Sample Sentences,바닥을 깨끗이 닦아 주세요.,Please mop the floor clean.
SENTENCE,67,Sample Sentences,수세미를 깨끗이 닦아 주세요.,Please clean the scrubbing sponges thoroughly.
SENTENCE,68,Sample Sentences,냅킨을 창고로 옮겨 주세요.,Please move the napkins to the storage room.
SENTENCE,69,Sample Sentences,쟁반을 깨끗이 닦아 주세요.,Please wipe the trays clean.
SENTENCE,70,Sample Sentences,물을 홀에 넣어 주세요.,Please bring water to the dining area.
SENTENCE,71,Sample Sentences,음식물쓰레기를 빨리 정리해 주세요.,Please clean up the food waste quickly.
SENTENCE,72,Sample Sentences,주방을 창고에 넣어 주세요.,Please store kitchen items in storage.
SENTENCE,73,Sample Sentences,냉동실을 홀에 넣어 주세요.,Please move freezer items to the dining area.
SENTENCE,74,Sample Sentences,그릇을 빨리 정리해 주세요.,Please organize the bowls quickly.
SENTENCE,75,Sample Sentences,냅킨을 홀로 옮겨 주세요.,Please move the napkins to the dining area.
SENTENCE,76,Sample Sentences,냉동실을 세척실로 옮겨 주세요.,Please move freezer items to the dishwashing room.
SENTENCE,77,Sample Sentences,소스를 창고에 넣어 주세요.,Please put the sauces in the storage room.
SENTENCE,78,Sample Sentences,테이블을 깨끗이 닦아 주세요.,Please wipe the tables clean.
SENTENCE,79,Sample Sentences,테이블을 세척실에 넣어 주세요.,Please move table items to the dishwashing room.
SENTENCE,80,Sample Sentences,홀을 깨끗이 닦아 주세요.,Please clean/wipe down the dining area.
SENTENCE,81,Sample Sentences,재료를 빨리 정리해 주세요.,Please organize the ingredients quickly.
SENTENCE,82,Sample Sentences,냉장고를 깨끗이 닦아 주세요.,Please wipe down the refrigerator clean.
SENTENCE,83,Sample Sentences,컵을 확인해 주세요.,Please check the cups.
SENTENCE,84,Sample Sentences,소독제를 확인해 주세요.,Please check the sanitizer stock.
SENTENCE,85,Sample Sentences,쟁반을 빨리 정리해 주세요.,Please organize the trays quickly.
SENTENCE,86,Sample Sentences,냉동실을 냉장고에 넣어 주세요.,Please transfer items from the freezer to the refrigerator.
SENTENCE,87,Sample Sentences,행주를 확인해 주세요.,Please check the dishcloths.
SENTENCE,88,Sample Sentences,주방을 홀에 넣어 주세요.,Please move kitchen items to the dining area.
SENTENCE,89,Sample Sentences,얼음을 냉장고로 옮겨 주세요.,Please move the ice to the refrigerator.
SENTENCE,90,Sample Sentences,접시를 홀에 넣어 주세요.,Please bring the plates to the dining area.
SENTENCE,91,Sample Sentences,소독제를 냉동실에 넣어 주세요.,Please put the sanitizer in the freezer.
SENTENCE,92,Sample Sentences,냅킨을 홀에 넣어 주세요.,Please bring the napkins to the dining area.
SENTENCE,93,Sample Sentences,세제를 깨끗이 닦아 주세요.,Please wipe off the detergent residue clean.
SENTENCE,94,Sample Sentences,세제를 깨끗이 닦아 주세요.,Please wipe off the detergent residue clean.
SENTENCE,95,Sample Sentences,의자를 빨리 정리해 주세요.,Please arrange the chairs quickly.
SENTENCE,96,Sample Sentences,수세미를 확인해 주세요.,Please check the scrubbing sponges.
SENTENCE,97,Sample Sentences,테이블을 빨리 정리해 주세요.,Please clear/arrange the tables quickly.
SENTENCE,98,Sample Sentences,음식물쓰레기를 확인해 주세요.,Please check the food waste bin.
SENTENCE,99,Sample Sentences,냉동실을 깨끗이 닦아 주세요.,Please wipe down the freezer clean.
SENTENCE,100,Sample Sentences,바닥을 주방으로 옮겨 주세요.,Please move floor-cleaning items to the kitchen.
